group_article,plant,location_id,article_price,min_disp_quantity,ots_main_class,ots_agg_class,class,units,revenue,open_to_ship,agg_open_to_ship,open_to_ship_add,agg_open_to_ship_add,predicted_sales,grade,package,location_segmentation,min_allocation,rid_day_land_in_store,allocatable_stock
IT4048,9510,CN296,205.73,9,E2370,APPAREL_Kids_1,E2370,75,10545.43,14760,15804,14820,15864,36.51722717285156,B,null,PREMIUM_PLUS,75,2024-12-01,1045
IT4047,9510,CN296,173.07,9,E2370,APPAREL_Kids_1,E2370,78,9143.59,14760,15804,14820,15864,38.66344451904297,C,null,PREMIUM_PLUS,76,2024-12-01,819
IT4059,9510,CN296,277.14,9,E2370,APPAREL_Kids_1,E2370,127,21536.97,14760,15804,14820,15864,37.423038482666016,A,null,PREMIUM_PLUS,75,2024-12-01,3315
IT4062,9510,CN296,222.45,9,E2370,APPAREL_Kids_1,E2370,75,11434.45,14760,15804,14820,15864,36.80467224121094,B,null,PREMIUM_PLUS,75,2024-12-01,1152
IN1836,9540,CN296,451.57,9,E2270,APPAREL_Women_1,E2270,154,46370.94,26076,28678,26136,28738,60.37651062011719,A,null,PREMIUM_PLUS,83,2024-12-09,9407
IS0914,9540,CN296,451.57,9,E2270,APPAREL_Women_1,E2270,83,30340.2,26076,28678,26136,28738,60.37651062011719,A,null,PREMIUM_PLUS,83,2024-12-09,6345
IV7567,9524,CN296,322.36,9,E2270,APPAREL_Women_1,E2270,71,14039.54,26076,28678,26136,28738,25.104703903198242,A,null,PREMIUM_PLUS,71,2024-12-01,1470
GW5488,9521,CN288,322.36,10,E1170,FOOTWEAR_Men_1,E1170,62,23192.17,2484,2076,2519,2111,71.88987731933594,A,null,PREMIUM,62,2024-12-01,6964
IF9080,9510,CN288,556.96,10,E1170,FOOTWEAR_Men_1,E1170,76,57326.399999999994,2484,2076,2519,2111,98.85462951660156,B,null,PREMIUM,71,2024-12-16,1213
IF4230,9524,CN288,306.08,10,E1134,FOOTWEAR_Men_1,E1134,107,50497.09,290,2076,325,2111,105.96005249023438,B,null,PREMIUM,74,2024-12-01,361
IH3072,9524,CN288,483.87,10,21173,FOOTWEAR_Men_1,21173,74,75718.2,270,2076,305,2111,104.96918487548828,A,null,PREMIUM,73,2024-12-01,1743
JP9962,9510,CN288,375.16,10,21174,FOOTWEAR_Men_1,21174,213,86952.13,1040,2076,1075,2111,126.54692077636719,A,null,PREMIUM,81,2024-12-16,932
JQ8539,9510,CN288,386.96,10,E1170,FOOTWEAR_Men_1,E1170,62,19165.65,2484,2076,2519,2111,49.05754852294922,A,null,PREMIUM,55,2024-12-09,5477
JR3199,9540,CN288,386.96,10,E1170,FOOTWEAR_Men_1,E1170,190,89413.31,2484,2076,2519,2111,156.13206481933594,A,null,PREMIUM,90,2024-12-09,10001
JR3184,9540,CN288,451.57,10,E1170,FOOTWEAR_Men_1,E1170,188,92823.08,2484,2076,2519,2111,107.11270141601562,A,null,PREMIUM,74,2024-12-09,11982
JR8321,9510,CN288,367.58,10,21174,FOOTWEAR_Men_1,21174,214,89375.16,1040,2076,1075,2111,149.28955078125,A,null,PREMIUM,88,2024-12-09,2160
JS1123,9510,CN288,386.96,10,E1170,FOOTWEAR_Men_1,E1170,62,35998.41,2484,2076,2519,2111,49.05754852294922,A,null,PREMIUM,55,2024-12-09,4493
JS1031,9540,CN288,386.96,10,E1170,FOOTWEAR_Men_1,E1170,90,49348.53,2484,2076,2519,2111,49.05754852294922,A,null,PREMIUM,55,2024-12-09,10940
GK9032,9540,CN288,322.36,9,E2170,APPAREL_Men_1,E2170,204,38236.05,0,8161,0,8196,41.22579574584961,A,null,PREMIUM,52,2024-12-09,11744
GK9033,9540,CN288,322.36,9,E2170,APPAREL_Men_1,E2170,205,38236.05,0,8161,0,8196,41.22579574584961,A,null,PREMIUM,52,2024-12-09,11636
GK9034,9540,CN288,322.36,9,E2170,APPAREL_Men_1,E2170,62,17084.84,0,8161,0,8196,52.998512268066406,A,null,PREMIUM,56,2024-12-09,5600
IZ4701,9540,CN288,774.58,9,E2170,APPAREL_Men_1,E2170,286,161568.37,0,8161,0,8196,140.1767120361328,A,null,PREMIUM,85,2024-12-16,5559
IV7607,9540,CN288,354.66,9,E2170,APPAREL_Men_1,E2170,109,35304.44,0,8161,0,8196,99.08891296386719,A,null,PREMIUM,71,2024-12-09,10170
JL8397,9540,CN288,516.17,9,22135,APPAREL_Men_1,22135,301,91422.49,0,8161,0,8196,62.234012603759766,A,null,PREMIUM,59,2024-12-16,4900
JL8399,9540,CN288,516.17,9,22135,APPAREL_Men_1,22135,299,90931.25,0,8161,0,8196,62.330631256103516,A,null,PREMIUM,59,2024-12-16,4360
JM3408,9510,CN288,290.06,9,E2170,APPAREL_Men_1,E2170,367,66257.79,0,8161,0,8196,98.85574340820312,A,null,PREMIUM,71,2024-12-16,1957
JM9095,9540,CN288,257.76,9,E2170,APPAREL_Men_1,E2170,64,14427.82,0,8161,0,8196,55.947689056396484,A,null,PREMIUM,57,2024-12-09,8527
HR1931,9526,CN288,367.58,11,21274,FOOTWEAR_Women_1,21274,87,27906.27,21,209,56,244,80.30939483642578,A,null,PREMIUM,65,2024-12-01,1451
JP8414,9510,CN288,645.37,11,E1270,FOOTWEAR_Women_1,E1270,63,34013.39,134,209,169,244,52.40742492675781,A,null,PREMIUM,56,2024-12-16,598
JQ7832,9540,CN288,419.27,11,E1270,FOOTWEAR_Women_1,E1270,57,19562.89,134,209,169,244,46.318824768066406,A,null,PREMIUM,54,2024-12-16,1920
HQ5826,9510,CN288,257.5,16,11317,FOOTWEAR_Kids_1,11317,53,9685.54,38,306,73,341,37.227474212646484,C,null,PREMIUM,53,2024-12-01,2300
ID3375,9510,CN288,354.66,16,E1370,FOOTWEAR_Kids_1,E1370,62,17336.17,7,306,42,341,48.762210845947266,A,null,PREMIUM,57,2024-12-01,3306
ID3376,9510,CN288,354.66,16,E1370,FOOTWEAR_Kids_1,E1370,62,17290.38,7,306,42,341,48.50397872924805,A,null,PREMIUM,57,2024-12-01,3590
IF5006,9510,CN288,354.66,16,21535,FOOTWEAR_Kids_1,21535,53,12584.12,42,306,77,341,34.96443557739258,A,null,PREMIUM,52,2024-12-01,3632
IF5986,9510,CN288,278.2,16,E1370,FOOTWEAR_Kids_1,E1370,76,17497.17,7,306,42,341,62.78842544555664,B,null,PREMIUM,61,2024-12-01,3166
IN1836,9510,CN288,451.57,9,E2270,APPAREL_Women_1,E2270,201,70296.86,2016,4669,2051,4704,119.3442611694336,A,null,PREMIUM,78,2024-12-09,3473
IM2819,9540,CN288,222.45,9,E2270,APPAREL_Women_1,E2270,54,9363.26,2016,4669,2051,4704,41.183048248291016,B,null,PREMIUM,52,2024-12-01,110
IS0914,9540,CN288,451.57,9,E2270,APPAREL_Women_1,E2270,130,54040.34,2016,4669,2051,4704,119.3442611694336,A,null,PREMIUM,78,2024-12-09,6345
JE3962,9530,CN288,327.85,9,E2270,APPAREL_Women_1,E2270,52,12152,2016,4669,2051,4704,34.13145065307617,C,null,PREMIUM,49,2024-12-01,206
JJ3781,9530,CN288,280.95,9,E2270,APPAREL_Women_1,E2270,69,16857,2016,4669,2051,4704,73.1932373046875,C,null,PREMIUM,62,2024-12-01,69
GY0018,9540,CN907,774.58,10,21135,FOOTWEAR_Men_1,21135,48,26511.54,0,155,0,190,30.453983306884766,A,null,PREMIUM,48,2024-12-09,5065
GK9032,9540,CN907,322.36,9,E2170,APPAREL_Men_1,E2170,170,31352.55,0,3144,0,3179,32.518890380859375,A,null,PREMIUM,49,2024-12-09,11744
GK9033,9540,CN907,322.36,9,E2170,APPAREL_Men_1,E2170,170,31352.55,0,3144,0,3179,32.518890380859375,A,null,PREMIUM,49,2024-12-09,11636
HZ5345,9524,CN907,903.78,9,12117,APPAREL_Men_1,12117,52,38391.56,360,3144,395,3179,41.95774841308594,A,null,PREMIUM,52,2024-12-01,3999
IV7607,9540,CN907,354.66,9,E2170,APPAREL_Men_1,E2170,64,19818.48,0,3144,0,3179,55.76042938232422,A,null,PREMIUM,57,2024-12-09,10170
JF0963,9540,CN907,516.17,9,E2170,APPAREL_Men_1,E2170,304,91309.39,0,3144,0,3179,58.795806884765625,A,null,PREMIUM,58,2024-12-09,11015
JF0964,9510,CN907,516.17,9,E2170,APPAREL_Men_1,E2170,67,30401.33,0,3144,0,3179,58.795806884765625,A,null,PREMIUM,58,2024-12-09,2664
JL8397,9540,CN907,516.17,9,22135,APPAREL_Men_1,22135,196,60503.94,0,3144,0,3179,46.434173583984375,A,null,PREMIUM,53,2024-12-16,4900
JM9115,9540,CN907,290.06,9,E2170,APPAREL_Men_1,E2170,86,22260.03,0,3144,0,3179,76.48570251464844,A,null,PREMIUM,63,2024-12-09,9652
JM9130,9540,CN907,968.38,9,E2170,APPAREL_Men_1,E2170,84,73219.45,0,3144,0,3179,75.22048950195312,A,null,PREMIUM,63,2024-12-16,3627
JW1650,9540,CN907,968.38,9,E2170,APPAREL_Men_1,E2170,68,56894.32,0,3144,0,3179,58.50412368774414,A,null,PREMIUM,58,2024-12-09,3881
HR1931,9524,CN907,367.58,11,21274,FOOTWEAR_Women_1,21274,50,13468.73,14,417,49,452,34.28324890136719,A,null,PREMIUM,50,2024-12-01,2334
IE5909,9526,CN907,419.27,11,11217,FOOTWEAR_Women_1,11217,46,12158.32,40,417,75,452,22.997573852539062,A,null,PREMIUM,46,2024-12-16,101
IG6290,9526,CN907,266.88,11,E1270,FOOTWEAR_Women_1,E1270,59,13075.38,295,417,330,452,48.98698425292969,C,null,PREMIUM,55,2024-12-01,1796
JP7106,9530,CN907,386.96,11,E1270,FOOTWEAR_Women_1,E1270,63,20410.21,295,417,330,452,52.49001693725586,A,null,PREMIUM,56,2024-12-16,323
GX6284,9521,CN426,445.46,10,21173,FOOTWEAR_Men_1,21173,31,6241.52,80,130,105,155,7.022828102111816,B,null,MID-SCALE,31,2024-12-01,605
JR8321,9530,CN426,367.58,10,21174,FOOTWEAR_Men_1,21174,37,13529.57,138,130,163,155,26.614267349243164,A,null,MID-SCALE,37,2024-12-09,6358
HE2225,9540,CN426,278.2,9,E2170,APPAREL_Men_1,E2170,32,5004.24,0,657,0,682,12.975870132446289,B,null,MID-SCALE,32,2024-12-01,1642
JH7349,9530,CN426,580.77,11,21235,FOOTWEAR_Women_1,21235,32,16650.15,0,32,0,57,11.338191986083984,A,null,MID-SCALE,32,2024-12-01,793
GW2899,9521,CN426,250.33,16,E1370,FOOTWEAR_Kids_1,E1370,33,3106.78,104,173,129,198,7.821485996246338,B,null,MID-SCALE,33,2024-12-01,837
GY6605,9540,CN807,645.37,10,E1170,FOOTWEAR_Men_1,E1170,132,78582.19,11874,7880,11944,7950,121.52600860595703,A,null,PREMIUM_PLUS,114,2024-12-16,1947
GY0019,9540,CN807,774.58,10,21135,FOOTWEAR_Men_1,21135,159,80318.21,0,7880,0,7950,58.385196685791016,A,null,PREMIUM_PLUS,93,2024-12-16,5601
GY0018,9540,CN807,774.58,10,21135,FOOTWEAR_Men_1,21135,160,80284.66,0,7880,0,7950,57.29854965209961,A,null,PREMIUM_PLUS,92,2024-12-09,5065
GW5488,9521,CN807,322.36,10,E1170,FOOTWEAR_Men_1,E1170,103,29482.59,11874,7880,11944,7950,89.91716766357422,A,null,PREMIUM_PLUS,103,2024-12-01,6964
GW5489,9521,CN807,322.36,10,E1170,FOOTWEAR_Men_1,E1170,103,29482.59,11874,7880,11944,7950,89.91716766357422,A,null,PREMIUM_PLUS,103,2024-12-01,1890
ID0542,9524,CN807,580.77,10,21135,FOOTWEAR_Men_1,21135,137,49640.14,0,7880,0,7950,74.4594955444336,A,null,PREMIUM_PLUS,98,2024-12-01,1929
ID0542,9526,CN807,580.77,10,21135,FOOTWEAR_Men_1,21135,132,47481.88,0,7880,0,7950,74.4594955444336,A,null,PREMIUM_PLUS,98,2024-12-01,1545
IE3452,9524,CN807,556.96,10,E1170,FOOTWEAR_Men_1,E1170,110,55557.78,11874,7880,11944,7950,99.503662109375,B,null,PREMIUM_PLUS,107,2024-12-01,1926
IF3768,9540,CN807,645.37,10,E1170,FOOTWEAR_Men_1,E1170,117,69000.2,11874,7880,11944,7950,106.8314437866211,A,null,PREMIUM_PLUS,109,2024-12-09,5224
IF9080,9540,CN807,556.96,10,E1170,FOOTWEAR_Men_1,E1170,110,55592.93,11874,7880,11944,7950,99.62989044189453,B,null,PREMIUM_PLUS,107,2024-12-16,4392
IH7799,9540,CN807,668.47,10,E1170,FOOTWEAR_Men_1,E1170,107,64776.29,11874,7880,11944,7950,96.80464172363281,B,null,PREMIUM_PLUS,106,2024-12-01,4300
JR0081,9510,CN807,354.66,10,E1170,FOOTWEAR_Men_1,E1170,118,38657.94,11874,7880,11944,7950,109.00053405761719,A,null,PREMIUM_PLUS,110,2024-12-16,1913
JQ4948,9510,CN807,612.72,10,E1170,FOOTWEAR_Men_1,E1170,88,37612.31,11874,7880,11944,7950,44.7716064453125,B,null,PREMIUM_PLUS,88,2024-12-01,1041
JR3086,9540,CN807,562.36,10,E1170,FOOTWEAR_Men_1,E1170,104,52148.07,11874,7880,11944,7950,91.46150207519531,C,null,PREMIUM_PLUS,104,2024-12-01,4035
JQ8539,9510,CN807,386.96,10,E1170,FOOTWEAR_Men_1,E1170,91,26119.56,11874,7880,11944,7950,53.998779296875,A,null,PREMIUM_PLUS,91,2024-12-09,5477
JQ2721,9540,CN807,386.96,10,E1170,FOOTWEAR_Men_1,E1170,152,54876.88,11874,7880,11944,7950,141.6307830810547,A,null,PREMIUM_PLUS,121,2024-12-16,3984
JR5533,9540,CN807,386.96,10,E1170,FOOTWEAR_Men_1,E1170,99,32181.74,11874,7880,11944,7950,77.33110046386719,A,null,PREMIUM_PLUS,99,2024-12-16,2565
